# Bullinger	Heinrich
# Bullinger	Heinrich sen
# Bullinger	Heinrich jun
Haller	Johannes
Fabricius	Johannes
Beza	Theodor
Egli	Tobias
Blarer	Ambrosius
Gast	Johannes
Sulzer	Simon
Liner	Hans
Calvin	Johannes
Erastus	Thomas
Musculus	Wolfgang
Vadian	Joachim
von Stetten	Georg
Gallicius	Philipp
Myconius	Oswald
Bäldi	Joachim
Jung	Johannes
Hugo	Johannes
Coignet	Matthieu
Vergerius	Petrus Paulus
Schlüsselberger	Gabriel
Ulmer	Johann Konrad
Oporin	Johannes
Hospinian	Johannes
Kessler	Johannes
Finsler	Josua
Wissenburg	Wolfgang
Sailer	Gereon
Waidner	Wolfgang
Burcher	John
Comander	Johannes
Lycosthenes	Konrad
Schüler	Gervasius
Vogt	Simprecht
du Fraisse	Jean
Blasius	Johannes
de l'Aubespine	Sebastian
Rüeger	Jakob
Ursinus	Zacharias
Curio	Coelius Secundus
von Ulm	Johannes
von Württemberg	Georg
Hyperius	Andreas
von Salis	Friedrich
Happel	Wigand
Frölich	Georg
Mont	Christoph
Schertlin	Sebastian
Bochetel	Bernardin
Hotomannus	Franciscus
Zanchi	Hieronymus
Borrhaus	Martin
Parkhurst	John
Travers	Johannes
Viret	Pierre
Erb Matthias
Hilles	Richard
Myszkowski	Stanislaus
Haller  Johann Jakob
zu Pappenheim   Philipp
von Rappoltstein    Anna Alexandria
Arnold  Matthäus
Bechlin	Johannes
Campell	Ulrich
von Hohensax	Ulrich Philipp
Parisotus	Petrus
Vogler  Johannes
Hooper  Anne
Hooper	John
Jonvilliers	Charles
Lentulus	Scipio
Mainard	Augustin
Micronius	Martin
Mont	Christopher
Müller	Johann Baptist
Rüger	Jakob
Brunner	Fridolin
Dryander	Franciscus
Schenck	Mathias
Farel	Wilhelm
Gwalther	Rudolf
Hochholzer	Christian
Hotman	François
Jewel	John
Thretius	Christoph
Vermigli	Petrus Martyr
de Cambray	Jean Jacques
Bullinger	Hans Rudolf
Gratarolus	Wilhelm
Haddon	James
Hotman	François
Dürnhofer	Laurenz
Ehem	Christoph
Chaillet    David
Foxe	John
Jonvillers	Charles
Pontisella	Johannes
Schlatter	Michael
Zanchi	Girolamo
Zanchi	Hieronymus
Altieri	Balthasar
Besozzo	Antonio Mario
Brunner	Fridolin
Fonteius    Fridolin
Frey	Johann Leopold
Jaske	Johannes
Sulzer	Simon
Steiger	Johannes
Utenhove	Jan
Utenhove	Johannes
Vergerio	Pier Paolo
Volmar	Melchior
zum Lamb	Hieronymus
Adelschwiler	Hans Jakob
Aichinger	Christoph
# Bullinger	Johannes
Dürnhofer	Laurentius
Ehinger	Johannes
Haller	Wolfgang
Hoser	Simprecht
Klebitz	Wilhelm
Lavater	Ludwig
Marti	Benedikt
Naogeorgus	Thomas
Paceus	Valentin
Sailer	Raphael
Tschudi	Valentin
von Laubenberg  Hans Wilhelm
von Landgraf	Philipp
Zwick	Johannes
Sampson	Thomas
Schenck	Mathias
Stucki	Johann Wilhelm
Stumpf	Johann Rudolf
Tillmann	Samuel
#	de l'Aubespine	Sebastien
#	von Diesbach	Nikolaus
#	von Rümlang	Eberhard
#	Agricola	Laurentius
#	Arnold	Gabriel
#	Bertlin	Bartholomäus
#	Bitter	Dietrich
#	Blarer	Thomas
#	Brunner	Fonteius Fridolin
#	Chytraeus	David
#	Dathenus	Petrus
#	Dunus	Thaddaeus
# Erast	Thomas
#	Fabricius	Karl
#	Frei	Johann Leopold
#	Funck	Johannes
#	Geistliche	s.n.
#	Girier	Stephan
#	Goignet	Matthieu
#	Grey	Jane
#	Grindal	Edmund
#	Haug	David
#	Hooper	Anne
#	Johannes	s.n.
#	Kilchmeyer	Jost
#	Lever	Thomas
#	Melanchthon	Philipp
#	Niger	Franciscus
#	Schenk	Matthias
#	Sehenek	Mathias
#	Seiler	Gereon
#	Seiler	Raphael
#	StGaller	Prediger
#	Toxites	Michael
#	Traheron	Bartholomäus
#	Welser	Hans
#	Wisseriburg	Wolfgang
#	Wolf	Johannes
#	Wunderlich	Hans
#	Zirler	Stephan
#	abrieius	Johannes
#	de Bellièvre	Jean
#	de Bellièvre	Pomponne
#	du Moulin	Charles
#	von Salis	Rudolf
#	zum Camph	Gerhard
#	Aberlin	Joachim
#	Agricola	Laurenz
#	Aichinger	Christopherus
#	Bachofen	Mathias
#	Bachofen	Matthias
#	Backofen	Mathias
#	Banks	John
#	Bars	Adolf
#	Beccaria	Johannes
#	Brunner	Fonteius Fridoli
#	Caraccioli	Galeazzo
#	Chur	s.n.
#	Cognatus	Gilbert
#	Cognatus	Gilbertus
#	Cruciger	Felix
#	Dasypodius	Konrad
#	Dürnhofer	Lorenz
#	Einer	Hans
#	Ewich	Johannes
#	Fabrieins	Johannes
#	Fabrieus	Johannes
#	Friedrich	Pfalzgraf
#	Grynaeus	Johann Jakob
#	Haies	Christopher
#	Heller	Johannes
#	Horn	Robert
#	Hoser	David
#	Hotomanus	Franciscus
#	Hugo	Johann
#	Hugo	Johannes II
#	Humphrey	Laurence
#	Jeger	Isaak
#	Johann	Konrad
#	Kessler	Josua
#	Languet	Hubert
#	Limer	Hans
#	Lydius	Martinus
#	Maler	Josua
#	Maler	Michael
#	Marti	Ambrosius
#	Martinengo	Ulisse
#	Martyr	Petrus
#	Martyr	Vermigli Petrus
#	Massurius	Hieronymus
#	Midi	Michael
#	Milander	Engelbert
#	Oglethorpe	Owen
#	Olevianus	Kaspar
#	Oporinus	Johannes
#	Oporln	Johannes
#	Pappus	Hieronymus
#	Patricius	Johannes
#	Peyer	Martin
#	Pfister	Vincenz
#	Ponet	John
#	Rudolf	Kaspar
#	Salier	Johannes
#	Salkyns	William
#	Sandys	Edwin
#	Schenek	Mathias
#	Schenk	s.n.
#	Schneeberger	Antonius
#	Semly	Konrad
#	Simler	Josias
#	Skinner	Ralph
#	Socin	Laelius
#	Sozin	s.n.
#	Sozin	Laelius
#	Sozzini	Lelio
#	StGallen	Prediger
Steiger	Hans
#	Stumpf	Johannes Rudolf
#	Susliga	Florian
#	Theodor	Philipp
#	Thretius	Christian
#	Tobias	s.n.
#	Ulster	Johann Konrad
#	Ungnad	Johann
#	Utenhove	Jan
#	Utenhove	Jan dJ
#	Uterihove	Johannes
#	Vadlan	Joachim
#	Vergerio	Pietro Paolo
#	Vermigli	Peter artyr
#	Vietor	Heinrich
#	Vogt	Simpert
#	Vogt	Simpreeht
#	Welser	Philipp
#	Wetter	David
#	Willing	Johannes
#	Wissehburg	Wolfgang
#	Wssehburg	Wolfgang
#	Zanehi	Hieronymus
#	Zehender	Ludwig
#	Zemlinus	Laurentius
#	Zurkinden	Nicolaus
#	a Adolphus	Brs
#	de Hotot	Jean
#	de Museau	Antoine Morelet
#	von Elisabeth	Heidegg
#	von Landenberg	Ulrich
#	von Niklaus	Diesbach
#	von Philipp	Hessen
#	von Salia	Friedrich
#	von Salis	Herkules
#	von Starkenburg	Nikolaus
#	Abel	Johann
#	Abel	Johannes
#	Abel	John
#	Abell	Johann
#	Absander	s.n.
#	Abseh	der
#	AbsemJer	s.n.
#	Absen	deL
#	Absen	def
#	Absen	dei
#	Absendei	s.n.
#	Absendej	s.n.
#	Absendet	s.n.
#	Absenjjl	Johannes
#	Abserjdjsr	s.n.
#	Absöhder	s.n.
#	Acronius	Fhrysius Johannes
#	Acronius	Frisius Johannes
#	Acronius	Johannes
#	Acronlus	Johannes
#	AcrvUt	s.n.
#	Adlischwiler	Hans Jakob
#	Adlischwiler	Johann
#	Afycrfki	iaunuj licf
#	Agricola	Joachim
#	Albrecht	Martin
#	Alecter	s.n.
#	Alrnlcki	Stanislaus
#	Altieri	Bälthasar
#	Altierl	Balthasar
#	Ambieliliirnus	Kaspar
#	Amisegger	Conrad
Ampelander	Valentin
#	Anastasius	Johannes
#	Anienus	s.n.
#	Antwort	der Dieneren der
#	Aorner	s.n.
#	Apriolus	Heinrich
#	Arator	Nikolaus
#	Arnold	s.n.
#	AteStiliaa	Johannes
#	Atitltr	s.n.
#	Atmender	s.n.
#	Aylmer	John
#	Aylmer	John I
#	BLcronius	Beartin
#	Bachöfen	Mathias
#	Balgach	s.n.
#	Bane	Amaud
#	Bappoltstein	A na Alex
#	Barberos	Wilhelm
#	Barer	Ambrosius
#	Bast	Johannes
#	Baug	David
#	Bbchetel	s.n.
#	Bbchtel	Beraardin
#	Bbriciu	Johannes
#	Bbrrhauy	Martin
#	Bbsa	Theodor
#	Bbutin	Jean
#	BcAUVOtr	Li Nocle Jw JeFi Stdt
#	Bechel	Johannes
#	Becher	Hans
Bechlin	Johann
#	Becks	Dietrich
#	Bedingen	Heinrich
#	Beebner	Hans
#	Beecarla	Johannes
#	Beehlin	Johann
#	BeiSvre	Foaponte
#	Beia	Theodor
#	Beisiei	Fraaeis
#	Beniger	Michael
#	Berauld	Eranqois
#	BernSchultheiss	uBat
#	Berner	Prediger
#	Bernher	Augustin
#	Bertershi	Johannes
#	Berthlinus	Barthelomaeus
#	Bertlin	Bartholomaeus
#	Bertlin	Barthoomaeus
#	Bertlin	Bärtholomaeus
#	Besardus	Martin
#	Besardus	iartinus
#	Besozz	Antonio Mario
#	Betreffend	die vertriebnen
#	Bhlnger	Johannes
#	Biaürer	prosius
#	Bicher	Christophe
#	Bier	Jakob
#	Bietmüller	Johannes
#	Bindschedler	Jakob
#	Bircftmann	Johannes
#	Bircimann	Johannes
#	Bircjimann	Johannes
#	Bircjlmann	Johannes
#	Bircjtmann	Johannes
#	Birckmann	Johannes
#	Bircmann	Johannes
#	Birermann	Johannes
#	Birk	Emanuel
#	Bisher	Ambrosius
#	Bitter	Djebrich
#	BiuT	Theodor
#	Biuntschil	Johannes
#	Bizynski	Hieronymus
#	Bjfrrcmann	Johannes
#	BlLUAtrfc	s.n.
#	Blarar	Ambrosius
#	Blarer	Ambroius
#	Blarer	Ambrosis
#	Blarer	Johann Jakob
#	Blarer	Jörg
#	Blarer	Thomas dJ
#	BlarerAmbrosius	s.n.
#	Blauer	Ambrosius
#	Bleuler	Plüwler Ulrich
#	Bluntfcschli	Johannes
#	BluntschliBlunschly	s.n.
#	Bochetel	s.n.
#	Boignet	Mathieu
#	Bolljlus	Hikolais
#	Boobejr	Johann
#	Bordier	John
#	Borte	tt Franz
#	Boset	Michael
#	Boset	Michel
#	Both	Botus Cornelius
#	Boza	Dheodor
Bramburg	Paul
#	Bramburus	Ilus
#	Bramius	Thomas Faber Gellius
#	Brastus	Thomas
#	Brenz	Johannes
#	Brest	luuwju
#	Breul	Tileaann
#	Brummer	fridelim
#	Brunner	Eonteius Eridolin
#	Brunner	Font eins Fridolin
#	Brunner	Fonteiue Fridolin
#	Brunner	Johannes
#	Brunner	ridelin
#	Btorrhaus	Martin
#	Bucar	Martin
#	Budny	Simon
#	Budä	Jean
#	Bueer	Martin
#	Bueger	Jakob
#	Bufcer	Jakob
#	Buger	Jakob
#	Bullinger	Christoph
#	Bullinger	Heinrich Antiste
#	Bullinger	Johann Rudolf
#	Bureber	John
#	Busse	Francis
#	Bussel	F ancis
#	Butler	Heinrich
#	Butler	Heinrich Henry
#	Butler	John
#	Buxcher	John
#	Bycosthenes	Konrad
#	Byrcmann	Johann sen
#	Bäabricius	Johannes
#	Bädius	Eonrad
#	Bäiarer	Ambrosius
#	Börrhaus	Martin
#	Büer	Jakob
#	Büfcer	akeh
#	Büger	Jakob
#	Büger	akob
#	Büllinger	Heinrich jun
#	Bürgermeister	und Eat
#	Bürgermeister	und Rat
#	Bürnhofer	aurentius
#	CVergerius	Petrus Paulus
#	CaaSell	Ulrich
