name,vorname,titel,ort,empfangen,gesendet
Bullinger,Heinrich,0,Zürich,7835,2249
Fabricius,Johannes,,Chur,112,277
Egli,Tobias,,s.l.,103,0
Beza,Theodor,,Genf,95,177
Fabricius,Johannes,,s.l.,95,14
Calvin,Johannes,,Genf,81,80
s.n.,s.n.,,s.l.,47,47
Myconius,Oswald,,Basel,45,66
Egli,Tobias,,Chur,39,141
Ulmer,Johann Konrad,,Schaffhausen,34,24
Calvin,Johannes,,s.l.,34,3
Dürnhofer,Laurenz,,Nürnberg,29,6
Geistliche,s.n.,,Zürich,24,12
Beza,Theodor,,s.l.,23,16
Blarer,Ambrosius,,Winterthur,19,83
Erb,Matthias,,Reichenweier,19,36
Haller,Johannes,,s.l.,18,5
Beza,Theodor,,enf,16,1
Jung,Johannes,,Basel,14,41
Philipp,Landgraf,von,Hessen,11,0
Blaurer,Ambrosius,,s.l.,11,1
Bäldi,Joachim,,s.l.,10,8
Haller,Johannes,,Bern,10,476
,,Geistliche,Zürich,9,11
Vadian,Joachim,,St. Gallen,8,74
Salis,Friedrich,von,Samaden,8,16
Blarer,Ambrosius,,Biel,8,47
Travers,Johannes,,Zuoz,7,11
Fabricius,Johannes,,Ghur,7,4
Blarer,Ambrosius,,s.l.,7,6
Fabricius,s.n.,,Johannes,7,12
Egll,Tobias,,s.l.,6,0
Stumpf,Johannes,,Stammheim,6,0
Kessler,Johannes,,s.l.,6,0
Salis,Friedrich,von,Chiavenna,6,15
Cox,Richard,,Ely,5,3
Beaa,Theodor,,Genf,5,0
Blarer,Ambrosius,,Griessenberg,5,42
Erastus,Thomas,,Heidelberg,5,81
alvin,Johannes,,s.l.,4,0
Fraisse,Jean du,,Chur,4,22
abricius,Johannes,,s.l.,4,1
Saldi,Joachim,,s.l.,4,4
eza,Theodor,,Genf,4,0
Fabrieius,Johannes,,s.l.,4,0
Melanchthon,Philipp,,Wittenberg,4,0
Myeonius,Oswald,,Basel,4,1
Gwalther,Rudolf,,Zürich,4,10
Bäldi,Joachim,,Glarus,4,37
Fabricius,Jehannes,,s.l.,3,1
Grübe,Sebastian,,Schaffhausen,3,0
Hzg.,Christoph,von,Württemberg,3,0
Calvia,Johaaaes,,s.l.,3,0
Zürcher,s.n.,,s.l.,3,0
Beza,Theodor,,Senf,3,0
Gwalther,Rudolf,,Urdorf,3,2
Hessen,Wilhelm,von,s.l.,3,1
de,Bellievre Jean,,Solothurn,3,1
Musculus,Abraham,,Bern,3,1
Hubert,Honrad,,Strassburg,3,0
Trüber,Primus,,s.l.,3,0
Ulmer,ohann Konrad,,Schaffhausen,3,1
i,s.n.,,Genf,3,1
Klarer,Ambrosius,,Winterthur,3,9
Erh,Matthias,,Reichenweier,3,0
Erast,Thomas,,Heidelberg,3,2
Fahricius,Johannes,,s.l.,3,0
Kessler,Josua,,St. Gallen,3,1
Fahricius,Johannes,,Chur,3,5
Egli,Tobias,,Frauenfeld,2,0
Georg,Württemberg,von,s.l.,2,3
alvin,Jehannes,,s.l.,2,0
Kirche,Zürich,,Zürich,2,0
Blarer,Ambrosius,,Konstanz,2,51
li,Tobias,,s.l.,2,0
Salis,Friedrich,von,Ohiavenna,2,2
Zürich,s.n.,,s.l.,2,0
Calvin,Johannes und,,Genf,2,0
Kessler,Josua,,s.l.,2,0
Bullinger,Hans Rudolf,,Berg,2,4
Salis,Friedrich,von,Saaaden,2,1
eza,Theodor,,enf,2,0
Calvin,s.n.,,Genf,2,0
Curione,Cello Secondo,,Basel,2,0
Erb,Matthias,,Eeichenweier,2,3
J,s.n.,,s.l.,2,1
Keller,Georg,,Zürich,2,0
Zwinger,Theodor,,Basel,2,1
Utenhove,Johannes,,s.l.,2,0
Bald,Joachim,,s.l.,2,5
Synode,Zürich,von,s.l.,2,0
Mycpnius,Oswald,,Basel,2,0
Hubert,Konrad,,Strassburg,2,0
Egii,Tobias,,s.l.,2,0
Erb,Matthias,,s.l.,2,3
Philipp.,Landgraf,von,Hessen,2,0
Georg,Württemberg,von,Mömpelgard,2,1
llaurer,Ambrosius,,s.l.,2,0
von,Rappoltstein,,Rappoltstein Ribeaupierre,2,0
V,s.n.,,Genf,2,0
Fabricius,Johannes,,Ohur,2,3
Eduard,VI.,,König von England,2,0
von,Stetten Albert,,Augsburg,2,0
Bullinger,Hans Rudolf,,s.l.,2,1
Mycqnius,Oswald,,Basel,2,1
Beza,Theodor,,Lausanne,2,31
Bürgermeister,und Bat,,Zürich,2,0
Calvin,Johannes,,Senf,2,0
fe,s.n.,,Z Z,2,0
Zanchi,Hieronim,,s.l.,2,0
FriedrichPfalzgraf,s.n.,,s.l.,2,0
Curione,Celio Secondo,,Basel,2,0
Curio,Coelius Secundus,,Basel,2,20
Heinrich,s.n.,,s.l.,2,0
Waidner,Wolfgang,,Worms,2,25
Radziwill,Nikolaus,,Wilna,2,1
Bgli,Tobias,,s.l.,2,0
Sulzer,Simon,,Basel,2,101
Zürcher,Prediger,,Zürich,2,2
Fraagois,s.n.,,Bourges oder Straburg,1,0
I,s.n.,,rwalther Rudolf jua. ,1,0
Simler,Peter,,Kappel,1,0
W,oblaa,,s.l.,1,0
Sülier,Budolf,,s.l.,1,0
Garnerius,Johannes,,Strassburg,1,0
Besozzo,Antonio Mario,,KldX VCvs r,1,0
Waidner,s.n.,,Worms,1,0
MS,Heinrich,,s.l.,1,0
Zoller,Agatha,,i,1,0
Ballinfcer,ans Eudolf,,s.l.,1,0
uw,iy HA m m. sfr t,,Schaffhausen,1,0
lgfl,obls,,ZH,1,0
Borrhaus,Jetftin,,fA r rAj Arx V Ui VI,1,0
f,r .t A w W f,,Schaffhausen,1,0
Jesaias,s.n.,,Locarno Luggarus,1,0
jVelsius,ustusj,,s.l.,1,0
Adlischwiler,s.n.,,OttenhgCh,1,0
FMlippvon,Hessen a.x.,,C MarburgKassel,1,0
v,s.n.,,Genf,1,0
Ottheinrich,Pfalzgraf,,von Heuburg,1,0
w,W Sfr in AHWfr t Wf,,Schaffhausen,1,0
iöi,Joachim,,s.l.,1,0
Philipp.,Landgraf,von,Friedewild erh. Aug. . ,1,0
von,gappoltstein,,Rappoltstein Ribeaupierre,1,0
EpaTi,e r J ohanne s,,s.l.,1,0
Wilhelm,Hessen,von,s.l.,1,0
von,Rappeltstein,,Rappoltstein bei Rappolts,1,0
ISSIISIP,KoitiMMB f,,Zürich,1,0
Hat,Zürich und,von,Lg,1,0
Grynaeus,Johann Jakob,,Bw wT,1,0
fol,und s,de,Ausführung,1,0
Vermiglipeter,Martyr,,Strasshurg,1,0
Baidinger,Hans Bfcdolf,,s.l.,1,0
iJPstein,Egenolf,von,Rappoltsweiler,1,0
Vaidner,Wolfgang,,Worms,1,0
Festeriberger,Georg,,s.l.,1,0
wJ,s.n.,,J VJ. ,1,0
Diesbach,Niklaus,von,Bern,1,1
Festenberger,s.n.,,Georg,1,0
Rat,Zürich,von,s.l.,1,1
Bbchetel,Bernardin,,Baden,1,0
tsBullinger,Heinrich,,z. Z Kappel a. A. ,1,0
i,s.n.,,s.l.,1,1
Wilhelm,iv  Hessen,von,s.l.,1,0
tStffEinger,Hans Rudolf,,s.l.,1,0
W,iobiae,,s.l.,1,0
Hirs,s.n.,,L GuHk XutUif. ,1,0
Sigismund,August,,König von Polen,1,0
Jordan,Spithek,,aliczin,1,0
von,Rappoltstein,,RappoTiisteS Ribeaupierrd,1,0
IAfJ,A,,s.l.,1,0
Zanchi,Hieronlmo,,s.l.,1,0
ad,magnificos quosdam,,s.l.,1,0
Wissenburg,Wolfgang,,Basel,1,23
Wohias,s.n.,,s.l.,1,0
er,Heinrich,,s.l.,1,0
Pornaxius,Leonardas,,fM,1,0
Bochetel,Bemardin,,Solothurn,1,0
Bullinger,Hns Eudolf,,Berg,1,0
Bacher,Konrad,,Iidvogt in Baden,1,0
ipse,dominus eeips,,ostenditur. ,1,0
Hiarer,Ambrosius,,Siel,1,0
Farel,Wilhelm,,Heueriburg,1,0
A,s.n.,,s.l.,1,0
teaxiu,Leonhard,,s.l.,1,0
Otto,s.n.,,s.l.,1,0
Grais,Johann,,s.l.,1,0
Möfett,Heinrich,,s.l.,1,0
von,Wittgenstein Ludwig,,BqtI,1,0
itUht,Kri rr,,v,1,0
Hm,i,,Zürich,1,0
Marti,Ambrosius,,Chur,1,2
Statthalter,und,,Zürich,1,0
Lsmanninus,Franciscus,,E n a J,1,0
föger,einttoh,,s.l.,1,0
Bullinfcer,H Rudolf,,s.l.,1,0
VitrelOinus,Alexanr,de,Zrudargrnorinjl,1,0
Cruciger,Feli,,s.l.,1,0
Gallars,Nicolas s,de,s.l.,1,0
Adlischwiler,Hans,,s.l.,1,0
r,XVi lrAn j,,s.l.,1,0
Dathenus,Peter,,Heidelberg,1,1
filarer,Ambrosius,,Winterthur,1,0
Jlifu,JpIfiA,,s.l.,1,0
Babricius,Johannes,,Chur,1,0
...,v,,Rappoltstein Eisass,1,0
Philipp,Landgraf,von,Kassel empfangenJuni,1,0
Wilder,Bin. Edolf,,s.l.,1,0
ülmer,ohann Konrad,,Schaffhausen,1,0
ilffeer,Hans Budolf,,s.l.,1,0
ZUzHj,s.n.,,Basel,1,0
r,A A,,s.l.,1,0
,,Geistliche,Synode,1,0
Philipp,Landgraf,von,Kassel empfangen Juli,1,0
Xr,Heinrieh,,s.l.,1,0
Mtmrn,jfr. tr. iN,,Schaffhausen,1,0
ffier,Hans Rudolf,,s.l.,1,0
,,Geistliche,Schaffhausen,1,0
Bu,Hing er Heinrich,,s.l.,1,0
Egli,Bobias,,s.l.,1,0
Pournas,Leonard,,ier,1,0
Slioger,s.n.,,Heinrich,1,0
T,s.n.,,Schaffhausen,1,0
TgCr,Tobias,,s.l.,1,0
Johannes,s.n.,,s.l.,1,0
Büllinger,Heinrich jun.,,Wittenberg,1,0
Fabrüus,Johannes,,Chur,1,0
Jung,Johanne s,,asel,1,0
Julius,Mailand,von,dtiuho tlvtttt Xsvezr,1,0
Fericius,Johannes,,Chur,1,0
Froschauer,Christoph VJ.,,s.l.,1,0
Rcuchlin,J,,Locarno,1,0
Dathenme,Petrus,,s.l.,1,0
Grynaess,Johann Jakob,,s.l.,1,0
Soein,Laelius,,s.l.,1,0
Mainardi,Augustin,,ChtAvKiKs,1,0
Geistliche,s.n.,,Polen,1,0
Geistliche,s.n.,,Chur,1,0
y,s.n.,,s.l.,1,0
O,..V,,Genf,1,0
Babricius,Johannes,,s.l.,1,0
undat.Brief,s.n.,,in,1,0
Musculus,Wolfgang,,Bern erhalten . März,1,0
TScMaiMC,Wrd S,,s.l.,1,0
Horm,RiyharcL X A,,Parkhurot John,1,0
Curio,Goelius Secundus,,s.l.,1,0
Ilh,f df W h,,Schaffhausen,1,0
Besozzo,Antonio Mario,,Chiavenna,1,5
ubesptiie,Fi adse an,,tnitLT rUtrnM,1,0
Beza,Theodori,,Gtxv. eftSeie Tn ZovZt,1,0
fSger,Budol,,s.l.,1,0
t,s.n.,,Paris,1,0
Stetten,Georg d.J.,von,Bocksberg bei Augsburg,1,0
Bullinger,Heinrich,,s.l.,1,3
Hamas,Petrus,,Paris,1,0
lAübespine,Sebastian,de,Solothurn,1,12
Fleckenstein,Heinrich,von,Landvogt zu Baden,1,0
Wittenstein,Ludwig vom,,jjM ti hZu V,1,0
Bhllinger,Hans Rudolf,,Berg,1,0
C,lvin Johannes,,s.l.,1,0
Bttlllmger,Heinrich,,Zürich,1,0
C,lvin Johannes,,Genf,1,2
Mflg.r,Rudolf,,s.l.,1,0
Erb,Mathias,,s.l.,1,2
Gymper,Kaspar,,o evüu,1,0
Sieler,Josias,,s.l.,1,0
Zanchi,Hieronymus,,Strassburg,1,13
WirevA,LuA vo,,s.l.,1,0
Fabricius,Johanoes,,s.l.,1,0
Haller,Hohannes,,s.l.,1,0
cM,d,,fyprt f Zc,1,0
Sern,s.n.,,z,1,0
Gwalther,Rudolf,,tfrdorf,1,0
Examinatoren,s.n.,,Zürich,1,0
FMlipp,Landgraf,von,Kassel empf. i März,1,0
SchultheissRat,v.Bera,,Bern,1,0
abricius,Joahannes,,Xv,1,0
Cruciger,Felix,,s.l.,1,0
Egli,Tobias,,Ohur,1,0
Eabrijrfcius,Johannes,,s.l.,1,0
FT,Vf p wM tprrry r,,Schaffhausen,1,0
Erb,Matthias,,Reichenweier erh. Aug. ,1,0
V,p i ft p Ttt. np ft,,Schaffhausen,1,0
Fabricius,s.n.,,Jflnnes,1,0
Vergerius,Petrus Paulus,,Tübingen,1,38
rSlS,Theodor,,s.l.,1,0
Schüler,Gervasius,,s.l.,1,1
i,s.n.,,Solothurn,1,0
lergerius,Petrus Paulus,,Tübingen,1,0
...,N,,Tübingen,1,0
i,s.n.,,Fabricius Johannes,1,0
Fabricius,Johannes,,Ai krv T r,1,0
Ulmer,Johann Konrad,,Schaff haus en,1,0
Brastus,Thomas,,Heidelberg,1,1
Steiger,Hans Rudolf,,s.l.,1,0
Hessen,Landgraf Philippvcc,,s.l.,1,0
Fabricius,Jcjhnes,,s.l.,1,0
Philipp,Hessen,von,Rauschenberg,1,0
Strifoelius,Victorinus,,s.l.,1,0
D.,H.,,e e,1,0
Fabricius,Joahhnes,,s.l.,1,0
Fraisse,Jean du,,Gbar,1,0
Blaurer,Ambrosius,,TR,1,0
Curio,Coelius Secundus,,s.l.,1,0
T,s.n.,,aufgelistet und eingetragen,1,0
Fahricius,s.n.,,. . . . ,1,0
O,yV Vtri rvi,,an einen Edelmann,1,0
TSutu,s.n.,,hn,1,0
Brenz,Johannes,,JIJ,1,0
Crotus,Hieronymus Pesca,,Cremona,1,0
Junker,...,,Zürich,1,0
,,Geistliche,in Zürich,1,0
Talmann,Achilles,,Jonschwil Toggenburg,1,0
NSethelm,Abt,von,St. Gallen,1,0
Franckrych,begärt zu wüssen,,s.l.,1,0
Klarer,Thomas,,Kempten,1,0
Erb,Matthias,,X,1,0
Praisse,Jean du,,Chur,1,0
f,ngertdolf,,s.l.,1,0
Willing,Johannes,,Ravensburg,1,2
Tschudi,Casper,,s.l.,1,0
giM.s,s.n.,,s.l.,1,0
C,s.n.,,Gräfin von OstFriesland,1,0
Bullinger,Hans Eudolf,,Berg,1,0
Cruciger,Felix,,Klem j olevv,1,0
Curio,Coelius Secundus,,Basels,1,0
RadziwiH,Nikolaus,,Wilna,1,0
keUeyvU,TtijfJ,,s.l.,1,0
C,mu s J,,C s r fr,1,0
